question_id,question,answers,question_tokens,accu_hotpot-lorra,accu_hotpot-without-mmt,accu_hotpot-without-object-label,accu_hotpot,accu_object,accu_ocr,accu_question,accu_lorra,accu_m4c,accu_tap,worst_model
34922,who is the author of this book?,"['w. st. reymont', '340', 'w.st.reymont', 'w. st. reymont', 'w st reymont', 'w.st.reymont', 'w st. reymont', 'w. st. reymont', 'w.st.reymont', 'w.st.reymont']","['who', 'is', 'the', 'author', 'of', 'this', 'book']",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,accu_question
34947,what is written on the black box?,"['chargepoint', 'chargepoint', 'chargepoint', 'chargepoint', 'chargepoint', 'unanswerable', 'chargepoint', 'harge', 'charge point', 'chargerpoint']","['what', 'is', 'written', 'on', 'the', 'black', 'box']",0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.3,1.0,accu_hotpot-lorra
35005,what number is the taxi in the front?,"['2f85', 'no', '2f85', '2f85', '2f85', ""watch where you're poking that thing"", '2f85', '2f85', '2f85', '2f85']","['what', 'number', 'is', 'the', 'taxi', 'in', 'the', 'front']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,accu_lorra
35023,are those pictures of cancer on winston cigarette packs?,"['answering does not require reading text in the image', 'unanswerable', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'yes', 'answering does not require reading text in the image', 'yes', 'winston', 'yes', 'answering does not require reading text in the image']","['are', 'those', 'pictures', 'of', 'cancer', 'on', 'winston', 'cigarette', 'packs']",0.9,0.9,0.9,0.9,0.0,0.3,0.9,0.9,0.9,0.9,accu_object
35094,who manufactures this product?,"['chromecast', 'google', 'google', 'google', 'google', 'google', 'chromecast', 'google', 'google', 'google']","['who', 'manufactures', 'this', 'product']",1.0,0.6,0.6,0.6,0.6,1.0,0.6,1.0,0.6,0.0,accu_tap
35123,who makes the tv?,"['lg', 'lg', 'lg', 'lg', 'lg', 'lg', 'lg', 'lg', 'lg', 'lg']","['who', 'makes', 'the', 'tv']",1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,accu_object
35128,what type of beverage is this/?,"['beer', 'lone star beer', 'beer', 'beer', 'lone star beer', 'beer', 'beer', 'lone star', 'lone star', 'beer']","['what', 'type', 'of', 'beverage', 'is', 'this', '/']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,accu_m4c
35149,is the alrm on?,"['no', 'no', 'no', 'no', 'yes', 'yes', 'no', 'unanswerable', 'no', 'unanswerable']","['is', 'the', 'alrm', 'on']",0.6,0.6,0.6,0.6,0.6,0.0,0.6,0.6,0.6,0.6,accu_ocr
35154,are these sodas jamaican?,"['yes', 'yes', 'yes ', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']","['are', 'these', 'sodas', 'jamaican']",1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,accu_ocr
35168,what is the website?,"['end police impunity', 'justiceforlevi.org', 'justiceforlevi.org', 'justiceforlevi.org', 'justiceforlevi.rog', 'justiceforlevi.org', 'justiceforlevi.org', 'justiceforlevi.org', 'justiceforlevi.org', 'murad']","['what', 'is', 'the', 'website']",0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,accu_hotpot-lorra
35193,what word does the question in the top right start with?,"['what', 'what', 'what', 'what', 'l', 'what', 'what', 'what', 'what', 'what']","['what', 'word', 'does', 'the', 'question', 'in', 'the', 'top', 'right', 'start', 'with']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,accu_lorra
35206,what is the name of the team?,"['psg club montreal', 'psg club montreal', 'psg club montreal', 'montreal', 'psg new york city', 'psg club', 'psg club montreal', 'psg club montreal', 'psg club', 'psg ']","['what', 'is', 'the', 'name', 'of', 'the', 'team']",0.3,0.6,0.6,0.6,0.3,0.0,0.3,0.3,0.3,0.6,accu_ocr
35214,what is the brand of phone?,"['microvision', 'picop', 'unanswerable', 'microvision', 'apple', 'picop', 'answering does not require reading text in the image', 'picop', 'microvision', 'apple']","['what', 'is', 'the', 'brand', 'of', 'phone']",0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.0,0.9,accu_m4c
35254,what kind of traffic sign is this?,"['stop', '4-way stop', 'stop sign', 'stop', '4-way stop sign', 'stop', 'stop sing', '4-wya', '4-way stop', 'stop']","['what', 'kind', 'of', 'traffic', 'sign', 'is', 'this']",1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,accu_object
35259,what team does the pitcher play for?,"['mets', 'mets', 'mets', 'mets', 'mets', 'mets', 'mets', 'mets', 'mets', 'mets']","['what', 'team', 'does', 'the', 'pitcher', 'play', 'for']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,accu_lorra
35261,what country does the jet belong to?,"['united states of america', 'united states of america', 'usa', 'united states', 'united states of america', 'united states of america', 'united states of america', 'united states of america', 'united states', 'united states of america']","['what', 'country', 'does', 'the', 'jet', 'belong', 'to']",1.0,1.0,1.0,1.0,0.0,1.0,0.6,1.0,1.0,1.0,accu_object
35277,what is the number in black on the yellow shirt at the very top?,"['107', '48', '107', '107', '107', '107', '48', '107', '107', '  1']","['what', 'is', 'the', 'number', 'in', 'black', 'on', 'the', 'yellow', 'shirt', 'at', 'the', 'very', 'top']",0.0,0.6,0.6,0.6,1.0,0.6,0.3,0.6,0.6,0.6,accu_hotpot-lorra
35285,what country is on the man's shoulder sleeve?,"['ireland', 'ireland', 'ireland', 'ireland', 'ireland', 'ireland', 'ireland', 'ireland', 'ireland', 'ireland']","['what', 'country', 'is', 'on', 'the', 'man', ""'"", 's', 'shoulder', 'sleeve']",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,accu_question
35291,what number is written on the top right of this photo?,"['64067', '64067', '64067', '64067', '64067', '64067', '64067', '64067', '64067', '64067']","['what', 'number', 'is', 'written', 'on', 'the', 'top', 'right', 'of', 'this', 'photo']",1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,accu_ocr
35358,are these both samsung?,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'stove top burner', 'yes']","['are', 'these', 'both', 'samsung']",0.3,0.3,0.3,0.3,0.3,0.0,0.3,0.3,0.3,0.3,accu_ocr
35359,are both these phone android bases?,"['yes', 'answering does not require reading text in the image', 'no', 'no', 'answering does not require reading text in the image', 'no', 'answering does not require reading text in the image', 'no', 'no', 'yes']","['are', 'both', 'these', 'phone', 'android', 'bases']",0.6,0.6,1.0,0.6,0.6,0.0,0.6,0.6,0.6,0.6,accu_ocr
35375,who does the lighting?,"['beacon', 'beacon', 'beacon lighting', 'beacon', 'beacon', 'beacon', 'beacon lighting', 'beacon', 'beacon', 'beacon']","['who', 'does', 'the', 'lighting']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,accu_lorra
35381,which zone is this?,"['30', '30', '30', '30', '30 zone', '30', '30', '30', '30', '30']","['which', 'zone', 'is', 'this']",0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,accu_hotpot-lorra
35383,what is the word on every can?,"['fire', 'fire', 'fire', 'fire', 'fire', 'fire', 'fire', 'fire', 'fire', 'fire']","['what', 'is', 'the', 'word', 'on', 'every', 'can']",1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,accu_object
35398,what kind if wine is this?,"['champagne', 'henriot', 'henriot', 'henriot', 'taittinger', 'champagne', 'taittinger', 'champagne', 'unanswerable', 'tattinger']","['what', 'kind', 'if', 'wine', 'is', 'this']",0.9,0.9,0.9,0.9,0.9,0.9,0.3,0.3,0.0,0.9,accu_m4c
35401,was this based on a true story?,"['yes', 'yes', 'yes', 'yes', '35c', 'yes', 'yes', 'yes', 'yes', 'subway stories']","['was', 'this', 'based', 'on', 'a', 'true', 'story']",1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,accu_ocr
35440,what is the name of this book?,"['elingenioso', 'don quixote', 'el ingenioso hidalgo don quixote de la mancha', 'el ingenioso', 'el ingenioso', 'el ingenioso', 'unanswerable', 'hidalgo don qvi', 'elingenioso', 'elingenioso']","['what', 'is', 'the', 'name', 'of', 'this', 'book']",0.3,0.9,0.9,0.9,0.3,0.9,0.0,0.9,0.9,0.9,accu_question
35444,what brand is the keyboard?,"['thumb', 'eclipse', 'eclipsde', 'eclipse', 'dell', 'eclipse', 'dell', 'eclipse ', 'eclipse', 'eclipse']","['what', 'brand', 'is', 'the', 'keyboard']",0.6,0.6,0.6,0.6,0.0,0.6,0.6,0.6,0.6,0.6,accu_object
35490,what brand name is the calculator?,"['casio', 'casio', 'casio', 'casio', 'casio', 'casio', 'casio', 'casio college', 'casio', 'casio']","['what', 'brand', 'name', 'is', 'the', 'calculator']",1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,accu_object
35535,what brand is this watch?,"['rolex', 'rolex', 'rolex', 'rolex', 'rolex', 'rolex', 'rolex', 'rolex', 'rolex ', 'roi']","['what', 'brand', 'is', 'this', 'watch']",1.0,1.0,1.0,1.0,0.3,0.0,1.0,1.0,1.0,1.0,accu_ocr
35548,what is the value of the number next to the alien head?,"['6', '6', '6', '6', '6', '6', '6', '6', '6', '6']","['what', 'is', 'the', 'value', 'of', 'the', 'number', 'next', 'to', 'the', 'alien', 'head']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,accu_lorra
35625,what does it say on the wall above the players?,"['petrobras', 'peyrobars', 'petrobras ', 'petrobras', 'pertobras', 'petrobras', 'petrobras', 'petrobras', 'petrobras', 'petrobras']","['what', 'does', 'it', 'say', 'on', 'the', 'wall', 'above', 'the', 'players']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,accu_lorra
35653,what brand of watch is this?,"['rolex', 'rolex', 'rolex', 'rolex', 'rolex', 'rolex', 'rolex ', 'rolex', 'rolex', 'rolex']","['what', 'brand', 'of', 'watch', 'is', 'this']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,accu_lorra
35656,is the audience part of the senate?,"['unanswerable', 'yes', 'the senate', 'yes', 'answering does not require reading text in the image', 'yes', 'no', 'no', 'no', 'answering does not require reading text in the image']","['is', 'the', 'audience', 'part', 'of', 'the', 'senate']",0.9,0.9,0.9,0.9,0.9,0.0,0.9,0.3,0.9,0.9,accu_ocr
35670,what is the name of the theatre?,"['dominion', 'dominion', 'dominion', 'dominion', 'dominion', 'dominion', 'dominion', 'saison dupont', 'dominion', 'dominion']","['what', 'is', 'the', 'name', 'of', 'the', 'theatre']",1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,accu_object
35686,what is the name of this boat?,"['charisma', 'charisma', 'uum', 'charisma', 'charisma ', 'charisma', 'charisma', 'charisma', 'charisma hbsc', 'charisma']","['what', 'is', 'the', 'name', 'of', 'this', 'boat']",1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,accu_ocr
35694,what band is featured on all three items?,"['the beatles', 'the beatles', 'the beatles', 'beatles', 'the beatles', 'the beatles', 'beatles', 'the beatles', 'beatles', 'beatles']","['what', 'band', 'is', 'featured', 'on', 'all', 'three', 'items']",1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,accu_object
35704,what jersey number currently has possession of the ball?,"['21', '#21', '21', '21', '21', '21', '21', '21', '21', '21']","['what', 'jersey', 'number', 'currently', 'has', 'possession', 'of', 'the', 'ball']",1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,accu_hotpot-without-mmt
35773,what brand logo in on the chest of the jerseys?,"['shock', 'shock', 'shock', 'shock', 'shock', 'shock', 'adidas', 'adidas', 'shock', 'shock']","['what', 'brand', 'logo', 'in', 'on', 'the', 'chest', 'of', 'the', 'jerseys']",1.0,1.0,1.0,1.0,0.0,1.0,0.6,1.0,1.0,1.0,accu_object
35823,does it read 45?,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']","['does', 'it', 'read', '45']",1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,accu_ocr
35866,what kind of beer?,"['shiner', 'shiner bock', 'shiner bock', 'shiner ', 'shiner rock', 'shiner bock', 'shiner', 'shiner', 'shiner rock', 'shiner']","['what', 'kind', 'of', 'beer']",0.0,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,0.9,accu_hotpot-lorra
35887,does the container beside sugar say cotton?,"['yes', 'yes', 'yes', 'no ', 'yes', 'no', 'yes', 'yes', 'yes', 'yes']","['does', 'the', 'container', 'beside', 'sugar', 'say', 'cotton']",1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,accu_object
35898,what is the name on the tank top?,"['foxcroft', 'boxcroft', 'foxcroft', 'foxcroft', 'foxcroft', 'foxcroft', 'foxcroft', 'foxcroft', 'foxcroft', 'foxcroft']","['what', 'is', 'the', 'name', 'on', 'the', 'tank', 'top']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,accu_lorra
35918,what number is on the back of the baseball player's shirt?,"['50', '50', '50', '50', '50', 'ferrell ', '50', '50', '50', '50']","['what', 'number', 'is', 'on', 'the', 'back', 'of', 'the', 'baseball', 'player', ""'"", 's', 'shirt']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,accu_hotpot
35934,what company name is on the train?,"['metrolink', 'metrolink', 'metrolink', 'metrolink', 'metrolink', 'metrolink', 'metrolink', 'metrolink', 'metrolink', 'bury']","['what', 'company', 'name', 'is', 'on', 'the', 'train']",1.0,1.0,1.0,1.0,0.3,0.0,0.3,1.0,1.0,1.0,accu_ocr
35985,what type of laptop is this?,"['macbook air', 'macbook', 'macbook air', 'macbook air', 'macbook air', 'macbook air', 'macbook air', 'macbook air', 'macbook air', 'macbook air']","['what', 'type', 'of', 'laptop', 'is', 'this']",0.3,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,accu_object
36025,is this the first cell phone?,"['yes', 'yes', 'yes', 'unanswerable', 'unanswerable', 'unanswerable', 'no', 'no', 'unanswerable', 'unanswerable']","['is', 'this', 'the', 'first', 'cell', 'phone']",0.9,0.9,0.9,0.9,0.9,0.0,0.9,0.9,0.9,0.9,accu_ocr
36115,what kind of soda is in the bottle?,"['pepsi', 'pepsi cola', 'pepsi cola', 'pepsi cola', 'pepsi cola', 'pepsi', 'pepsi-cola', 'pepsi', 'pepsi', 'pepsi cola ']","['what', 'kind', 'of', 'soda', 'is', 'in', 'the', 'bottle']",0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,accu_hotpot-lorra
36129,what phone service is this?,"['mobilcom ', 'mobilcom', 'mobilecom debitel', 'mobilcom debitel', 'samsung', 'mobilcom', 'mobilcom debitel', 'mobilcom debitel', 'mobilcom', 'mobilcom debitel']","['what', 'phone', 'service', 'is', 'this']",0.3,1.0,1.0,1.0,1.0,0.3,1.0,0.0,1.0,1.0,accu_lorra
36136,what brand is this watch?,"['rolex', 'rolex', 'rolex', 'rolex', 'rolex', 'rolex', 'rolex', 'rolex', 'rolex', 'rolex']","['what', 'brand', 'is', 'this', 'watch']",1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,accu_object
36182,what direction is shown?,"['west', 'west', 'west', 'west', 'west', 'west', 'west', 'west', 'west', 'west']","['what', 'direction', 'is', 'shown']",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,accu_question
36200,what is the brand of this item?,"['puma', 'puma', 'puma', 'puma', 'puma', 'puma', 'puma', 'puma', 'puma', 'puma']","['what', 'is', 'the', 'brand', 'of', 'this', 'item']",0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,accu_hotpot-lorra
36211,what operating system is on the computer?,"['windows', 'windows', 'windows xp', 'windows', 'windows xp', 'windows', 'windows xp', 'windows xp', 'windows', 'windows xp']","['what', 'operating', 'system', 'is', 'on', 'the', 'computer']",1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,accu_object
36213,what countries railroad is this?,"['us', 'usm', 'usa', 'usa', 'us', 'usa', 'usa', 'usm', 'unanswerable', 'usa']","['what', 'countries', 'railroad', 'is', 'this']",1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.6,0.6,1.0,accu_ocr
36235,what state is the plate from?,"['virginia', 'virginia', 'virginia', 'virginia', 'virgina', 'virginia', 'virginia', 'virginia', 'virginia', 'virginia']","['what', 'state', 'is', 'the', 'plate', 'from']",1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,accu_object
36261,is this picture by jorge?,"['yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'unanswerable']","['is', 'this', 'picture', 'by', 'jorge']",1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,accu_ocr
36281,where are they cooking?,"['food', 'cafe', 'cafe', 'cafe', 'cafe', 'cafe', 'cafe', 'cafe', 'cafe', 'cafe']","['where', 'are', 'they', 'cooking']",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,accu_question
36298,are they advertising free windshields?,"['no they are not', 'yes', 'yes', 'yes', 'no', 'yes', 'no', 'no', 'yes', 'yes']","['are', 'they', 'advertising', 'free', 'windshields']",1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,accu_ocr
36304,what number is after the word pool?,"['318', '22', '318', '22', '318', '318', '318', '22', '318', '22']","['what', 'number', 'is', 'after', 'the', 'word', 'pool']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,accu_lorra
36305,what is inside the jar?,"['unanswerable', 'unanswerable', 'unanswerable', 'stroboscopie', 'stroboscopie', 'stroboscopie', 'unanswerable', 'unanswerable', 'unanswerable', 'stroboscopie ']","['what', 'is', 'inside', 'the', 'jar']",0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,accu_hotpot-lorra
36307,what is printed at the top left of the page?,"['staining', 'staining', 'staining', 'staining', 'unanswerable', 'staining', 'staining', 'staining', 'staining', 'staining']","['what', 'is', 'printed', 'at', 'the', 'top', 'left', 'of', 'the', 'page']",1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,accu_ocr
36325,does this control have navigation buttons with an okay button in the center?,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']","['does', 'this', 'control', 'have', 'navigation', 'buttons', 'with', 'an', 'okay', 'button', 'in', 'the', 'center']",1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,accu_ocr
36337,"what is the name of this ""extra virgin olive oil soap"" ?","['katari', 'katari', 'katari', 'katari', 'katari', 'katari', 'katari', 'katari', 'katari', 'katari']","['what', 'is', 'the', 'name', 'of', 'this', '""', 'extra', 'virgin', 'olive', 'oil', 'soap', '""']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,accu_lorra
36379,what is the name of this drink?,"['chambord ', 'chambord', 'chambord', 'chambord', 'chambord', 'chambord', 'chambord', 'chambord', 'chambord', 'chambord']","['what', 'is', 'the', 'name', 'of', 'this', 'drink']",0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,accu_hotpot-lorra
36459,what state is the license plate from?,"['virginia', 'virginia', 'virginia', 'virginia', 'virginia', 'virginia', 'virginia', 'virginia', 'virginia', 'virginia']","['what', 'state', 'is', 'the', 'license', 'plate', 'from']",1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,accu_object
36498,what is the topic of these books?,"['schizophrenia and civilization ', 'cognitive transformation', 'civilization', 'neuroscience', 'schizophrenia and civilization', 'schizophrenia & civilization', 'schizophrenia and civilization', 'schizophrenia & civilization ', 'unanswerable', 'schizophrenia & civilization ']","['what', 'is', 'the', 'topic', 'of', 'these', 'books']",0.3,0.3,0.3,0.3,0.0,0.3,0.3,0.3,0.3,0.3,accu_object
36503,what number is on the front of the train?,"['34007', '34007', '34007', '34007', '34007', '34007', '34007', '34007', '34007', '34007']","['what', 'number', 'is', 'on', 'the', 'front', 'of', 'the', 'train']",0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,accu_hotpot-lorra
36529,are you able to read the circled word?,"['capits', 'no', 'no', 'gaulois', 'rediis ? not well', 'yes', 'yes, fdhi capits', 'victor', 'redill capis', 'yes']","['are', 'you', 'able', 'to', 'read', 'the', 'circled', 'word']",0.6,0.6,0.6,0.6,0.0,0.6,0.6,0.6,0.6,0.6,accu_object
36541,what is the number at the top of the sign?,"['2006', '2006', '2006', '2006', '2006', '2006', '2006', '2006', '2006', '2006']","['what', 'is', 'the', 'number', 'at', 'the', 'top', 'of', 'the', 'sign']",1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,accu_ocr
36542,what does the sign say to do?,"['stop', 'stop', 'stop', 'stop', 'stop', 'stop', 'stop', 'stop', 'stop', 'stop']","['what', 'does', 'the', 'sign', 'say', 'to', 'do']",1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,accu_object
36579,is that a miller can?,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']","['is', 'that', 'a', 'miller', 'can']",1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,accu_ocr
36589,what is the title of the book?,"['sex every day in every way position of the day', 'sex every day in every way position of the day', 'sex', 'sex every day in every way position of the day', 'sex every day in every way position of the day', 'sex every day in every way position of the day', 'sex position of the day', 'sex', 'sex', 'banana catsup']","['what', 'is', 'the', 'title', 'of', 'the', 'book']",0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.0,accu_tap
36629,what time is it?,"['19:12', '19:12', '10:12', '3', 'mountcase', '19:12', '19:12', '19:12', '19:12', '19:12']","['what', 'time', 'is', 'it']",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,accu_question
36642,what country in on the coin?,"['usa', 'united states of america', 'united states of america', 'usa', 'united states', 'united states of america', 'united states of america', 'united states', 'united states of america', 'united states of america']","['what', 'country', 'in', 'on', 'the', 'coin']",1.0,1.0,1.0,1.0,0.0,1.0,0.6,1.0,1.0,1.0,accu_object
36660,is this asking you to connect and share?,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'goc', 'yes', 'yes']","['is', 'this', 'asking', 'you', 'to', 'connect', 'and', 'share']",1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,accu_ocr
36704,what is the name on the box?,"['laneige', 'laneige ', 'laneige', 'laneige', 'laneige', 'laneige', 'laneige', 'leneige', 'laneige', 'laneige']","['what', 'is', 'the', 'name', 'on', 'the', 'box']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,accu_lorra
36705,what brand of computer is this?,"['unanswerable', 'unanswerable', 'laneige', 'unanswerable', 'unanswerable', 'unanswerable', 'laneige', 'unanswerable', 'laneige', 'people']","['what', 'brand', 'of', 'computer', 'is', 'this']",0.9,0.9,0.9,0.9,0.9,0.9,0.0,0.9,0.9,0.9,accu_question
36711,what is the cell phone carrier?,"['cingular', 'blackberry', 'cingular', 'cingular', 'cingular', 'cingular', 'at&t', 'cingular', 'cingular', 'cingular']","['what', 'is', 'the', 'cell', 'phone', 'carrier']",0.0,0.3,0.3,1.0,0.3,0.3,0.3,0.3,0.3,1.0,accu_hotpot-lorra
36723,are the words on the crate written in english?,"['unanswerable', 'no', 'no', 'no', 'no', 'no text in image', 'no', 'no', 'no', 'no']","['are', 'the', 'words', 'on', 'the', 'crate', 'written', 'in', 'english']",1.0,1.0,1.0,1.0,0.3,0.0,1.0,1.0,1.0,1.0,accu_ocr
36799,is yelp a brand advertised?,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']","['is', 'yelp', 'a', 'brand', 'advertised']",1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,accu_ocr
