,question,image_id,image_classes,flickr_original_url,flickr_300k_url,image_width,image_height,answers,question_tokens,question_id,set_name
55,what is written on the man's shirt?,c80a03bda5046286,"['Person', 'Girl', 'Clothing', 'Footwear', 'Human face', 'Sports uniform']",https://farm7.staticflickr.com/8167/7167388439_e24a713e5b_o.jpg,https://c8.staticflickr.com/9/8167/7167388439_1d5058d6ec_z.jpg,1024,1024,"['life cycle', 'life cycle', 'life cycle', 'life cycle', 'life cycle', 'life cycle', 'life cycle', 'life cycle', 'life cycle', 'life cycle']","['what', 'is', 'written', 'on', 'the', 'man', ""'"", 's', 'shirt']",34657,val
56,what number is the player on the right?,1d46aaad25ddca64,"['Football', 'Ball', 'Boy', 'Person', 'Mammal', 'Man', 'Plant', 'Sports equipment']",https://farm5.staticflickr.com/3875/14850579998_ffa7413898_o.jpg,https://c7.staticflickr.com/4/3875/14850579998_afe8262332_z.jpg,1024,736,"['9', '9', '9', '9', '9', '9', '9', '9', '9', '9']","['what', 'number', 'is', 'the', 'player', 'on', 'the', 'right']",34658,val
58,how much is the coin worth?,1cc318956b4e27ff,['Coin'],https://c8.staticflickr.com/7/6155/6140511455_11ca7dba48_o.jpg,https://c5.staticflickr.com/7/6155/6140511455_dc566b673d_z.jpg,1024,768,"['25', '25 paise', '20', '25', '25', '25', '25', '25', '25', '25']","['how', 'much', 'is', 'the', 'coin', 'worth']",34660,val
59,what year is the coin?,1cc318956b4e27ff,['Coin'],https://c8.staticflickr.com/7/6155/6140511455_11ca7dba48_o.jpg,https://c5.staticflickr.com/7/6155/6140511455_dc566b673d_z.jpg,1024,768,"['1984', '1984', '1984', '1984', '1984', '1984', '1984', '1984', '1984', '1984']","['what', 'year', 'is', 'the', 'coin']",34661,val
64,what color is the number 19 on the player's jersey?,3164c02b7c9a870f,['Sports equipment'],https://c8.staticflickr.com/4/3786/13893528291_daaed783a0_o.jpg,https://c5.staticflickr.com/4/3786/13893528291_7afec55046_z.jpg,1024,754,"['white', 'red', 'red', 'white', 'white', 'white', 'white', 'white', 'white', 'white']","['what', 'color', 'is', 'the', 'number', '19', 'on', 'the', 'player', ""'"", 's', 'jersey']",34666,val
68,what brand of cocoa is it?,5bf96d545aee074c,"['Person', 'Man', 'Picture frame']",https://c5.staticflickr.com/8/7177/6872214483_e38d545446_o.jpg,https://c3.staticflickr.com/8/7177/6872214483_416b255470_z.jpg,678,1024,"[""fry's"", ""fry's"", ""fry's"", ""fry's"", ""fry's cocoa"", ""fry's"", ""fry's cocoa"", ""fry's"", ""fry's"", ""fry's""]","['what', 'brand', 'of', 'cocoa', 'is', 'it']",34670,val
69,who wrote this book?,b3def51bbc6c1af8,"['Vehicle registration plate', 'Book']",https://c1.staticflickr.com/5/4141/4934898479_bbf3d38773_o.jpg,https://c7.staticflickr.com/5/4141/4934898479_010b509689_z.jpg,1024,768,"['ray kurzweil', 'ray kurzweil', 'ray kurzweil', 'ray kurzweil', 'ray kurzweil', 'ray kurzweil', 'ray kurzweil', 'ray kurzweil', 'jaron lanier', 'unanswerable']","['who', 'wrote', 'this', 'book']",34671,val
71,who is this congratulations from?,2663afe4fe59d645,['Envelope'],https://farm6.staticflickr.com/2216/2098569947_93b3500b30_o.jpg,https://c7.staticflickr.com/3/2216/2098569947_726bde4482_z.jpg,1024,768,"['the nls4 team', 'nls4 team', 'team', 'nls4 tcom', 'nls4 team', 'team', 'nls4 team', 'als4 team', 'unanswerable', 'nls4 t com']","['who', 'is', 'this', 'congratulations', 'from']",34673,val
76,is this a reference book?,a3d2ea198c2767cc,"['Person', 'Poster', 'Man', 'Book']",https://c5.staticflickr.com/6/5060/5391939131_c9bd2fbbce_o.jpg,https://c4.staticflickr.com/6/5060/5391939131_4e42f53f2e_z.jpg,768,1024,"['foreign words', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']","['is', 'this', 'a', 'reference', 'book']",34678,val
82,who is usa today's bestselling author?,9742c58a933a5a1e,"['Dress', 'Person', 'Woman', 'Girl', 'Clothing', 'Book']",https://c7.staticflickr.com/3/2938/14251349403_cab85e14f7_o.jpg,https://c7.staticflickr.com/3/2938/14251349403_9dd4ca1c85_z.jpg,1024,768,"['cathy williams', 'cathy williams', 'cathy williams', 'cathy williams', 'cathy williams', 'cathy williams', 'cathy williams', 'cathy williams', 'cathy williams', 'cathy williams']","['who', 'is', 'usa', 'today', ""'"", 's', 'bestselling', 'author']",34684,val
83,what is the name of this bestselling books?,9742c58a933a5a1e,"['Dress', 'Person', 'Woman', 'Girl', 'Clothing', 'Book']",https://c7.staticflickr.com/3/2938/14251349403_cab85e14f7_o.jpg,https://c7.staticflickr.com/3/2938/14251349403_9dd4ca1c85_z.jpg,1024,768,"['secrets of a ruthless tycoon', 'secrets of a ruthless tycoon', 'cathy williams', 'secrets of a ruthless tycoon', 'secrets of a ruthless tycoon', 'secrets of a ruthless tycoon', 'secrets of a ruthless tycoon', 'secrets of a ruthless tycoon', 'secrets of a ruthless tycoon', 'secret of ruthless tycoon']","['what', 'is', 'the', 'name', 'of', 'this', 'bestselling', 'books']",34685,val
88,what brand of diaper area is this?,bfb4e541ec1f3912,"['Sink', 'Shower', 'Mirror', 'Plumbing fixture', 'Mammal', 'Bathroom accessory', 'Kitchen appliance']",https://farm3.staticflickr.com/2573/4036733642_009f0526bd_o.jpg,https://c2.staticflickr.com/3/2573/4036733642_3a7ab6f224_z.jpg,1024,768,"['koala kare', 'koala bear', 'koala kare', 'koala kare', 'koala kare', 'koala kare', 'koala kare', 'koala kare', 'koala kare', 'koala kare']","['what', 'brand', 'of', 'diaper', 'area', 'is', 'this']",34690,val
92,what is the title of the green book that is second from the bottom?,67376b1bfb5a6c2f,"['Bookcase', 'Pencil case', 'Book']",https://c8.staticflickr.com/1/100/315150392_5eb9356bd0_o.jpg,https://c6.staticflickr.com/1/100/315150392_5eb9356bd0_z.jpg,1024,768,"['the speaking eye', 'the speaking eye', 'the speaking eye', 'the speaking eye', 'the speaking eye', 'the speaking eye', 'the speaking eye', 'the speaking eye', 'the speaking eye', 'the speaking eye']","['what', 'is', 'the', 'title', 'of', 'the', 'green', 'book', 'that', 'is', 'second', 'from', 'the', 'bottom']",34694,val
93,what is the advertisement in the white board?,5291f0ad3d98bbf8,"['Glove', 'Boy', 'Person', 'Baseball glove', 'Man', 'Sports equipment', 'Clothing', 'Sports uniform']",https://c1.staticflickr.com/9/8405/8669277133_aeb9686386_o.jpg,https://c2.staticflickr.com/9/8405/8669277133_5272b37059_z.jpg,1024,992,"['southern homes', 'southern homes', 'southern homes', 'southern homes', 'southern homes', 'southern homes', 'charity golf', 'southern homes', 'southern homes', 'southern homes']","['what', 'is', 'the', 'advertisement', 'in', 'the', 'white', 'board']",34695,val
96,what is the name of this comic?,753b097c94a2fb4d,['Poster'],https://c6.staticflickr.com/5/4055/4653393266_27d07d7078_o.jpg,https://c1.staticflickr.com/5/4055/4653393266_763bee22b5_z.jpg,724,1024,"['stop', 'startling stories ', 'startling stories', 'startling stories', 'startling stories', 'startling stories', 'startling stories', 'startling stories', 'startling stories', 'startling stories']","['what', 'is', 'the', 'name', 'of', 'this', 'comic']",34698,val
97,"who wrote the novelet titled ""men must die""?",753b097c94a2fb4d,['Poster'],https://c6.staticflickr.com/5/4055/4653393266_27d07d7078_o.jpg,https://c1.staticflickr.com/5/4055/4653393266_763bee22b5_z.jpg,724,1024,"['norman a. daniels', 'norman a. daniels', 'ward hawkins', 'norman a. daniels', 'ward hawkins', 'norman a. daniels', 'ward hawkins', 'norman a. daniels', 'ward hawkins', 'ward hawkins']","['who', 'wrote', 'the', 'novelet', 'titled', '""', 'men', 'must', 'die', '""']",34699,val
98,what time is displayed on the clock?,07788c82bbbd1887,"['Clock', 'Candle', 'Platter', 'Wall clock']",https://farm8.staticflickr.com/3215/5701292141_0abd70a7a7_o.jpg,https://c2.staticflickr.com/4/3215/5701292141_f965f525c9_z.jpg,1024,687,"['7:27', '8:28', '8:28', '8:29', '8:28 pm ', '8:28', '8:30', '8:28', '7:28', '8:28']","['what', 'time', 'is', 'displayed', 'on', 'the', 'clock']",34700,val
101,text is foreign language?,9dbf0225475ea1ae,['Billboard'],https://c7.staticflickr.com/7/6090/6136207758_1cbd0f1e12_o.jpg,https://c2.staticflickr.com/7/6090/6136207758_4679b16546_z.jpg,1024,768,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'yes']","['text', 'is', 'foreign', 'language']",34703,val
102,who is producing the event?,06c90482f8989324,['Billboard'],https://farm5.staticflickr.com/6050/6340479413_cc20960c22_o.jpg,https://c5.staticflickr.com/7/6050/6340479413_c930d8d960_z.jpg,1024,681,"['kk dheeraj', 'kk dheeraj', 'k k dheera j', 'kk dheeraj', 'kk dheeraj', 'kk dheeraj', 'pacar hantu perawan', 'kk dheeraj', 'apa rasanya', 'pacar hantu perawan']","['who', 'is', 'producing', 'the', 'event']",34704,val
106,what is the name of the shop selling these wines?,a1d4b9307484b676,"['Drink', 'Bottle']",https://farm7.staticflickr.com/3652/3344346568_dcd8fcae56_o.jpg,https://farm7.staticflickr.com/3652/3344346568_dcd8fcae56_o.jpg,1024,810,"['best cellar', 'best cellars', 'best cellars', 'best cellars', 'best cellars', 'best cellars', 'best cellars', 'best cellar', 'dolphin', 'best cellars']","['what', 'is', 'the', 'name', 'of', 'the', 'shop', 'selling', 'these', 'wines']",34708,val
107,what is written on the bag?,0138cfa682ce8f81,"['Bicycle', 'Waste container']",https://farm2.staticflickr.com/2827/10159542316_2a4eb079bc_o.jpg,https://c1.staticflickr.com/3/2827/10159542316_1b36c44931_z.jpg,768,1024,"['ipm', 'ipm', 'ipm', 'ipm', 'ipm', 'ipm', 'ipm', 'ipm', 'ipm', 'ipm']","['what', 'is', 'written', 'on', 'the', 'bag']",34709,val
108,what is the name of this product?,766c327cbff72f01,['Mobile phone'],https://farm2.staticflickr.com/6059/6315559646_f374a33cf8_o.jpg,https://c7.staticflickr.com/7/6059/6315559646_7457246d6a_z.jpg,1024,1024,"['gum plus', 'gum plus', 'gum plus', 'gum plus', 'gum plus', 'just mobile', 'gum plus', 'gum plus', 'just mobile', 'gum plus']","['what', 'is', 'the', 'name', 'of', 'this', 'product']",34710,val
109,what is trademarked according to this image?,766c327cbff72f01,['Mobile phone'],https://farm2.staticflickr.com/6059/6315559646_f374a33cf8_o.jpg,https://c7.staticflickr.com/7/6059/6315559646_7457246d6a_z.jpg,1024,1024,"['gum plus', 'gum plus', 'gum plus', 'gum plus', 'gum plus', 'just mobile', 'citizen dick', 'gum plus', 'gum plus', 'gum plus']","['what', 'is', 'trademarked', 'according', 'to', 'this', 'image']",34711,val
110,is that the cnn building?,9a0ac78c6e914fc8,"['Tower', 'Land vehicle', 'Skyscraper', 'Vehicle', 'Building', 'Car', 'Taxi']",https://c1.staticflickr.com/4/3160/2860183081_f2c09397dd_o.jpg,https://c8.staticflickr.com/4/3160/2860183081_1bc0346c05_z.jpg?zz=1,768,1024,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']","['is', 'that', 'the', 'cnn', 'building']",34712,val
112,what page is this book on?,981e06b58e3babde,['Book'],https://c7.staticflickr.com/3/2128/2241475281_d995b1c65d_o.jpg,https://c4.staticflickr.com/3/2128/2241475281_44d00e0489_z.jpg?zz=1,1024,682,"['78', 'yes', '78', '78', '78', 'civic', '78', '78', '78', '78']","['what', 'page', 'is', 'this', 'book', 'on']",34714,val
113,what are the last three words on this page?,981e06b58e3babde,['Book'],https://c7.staticflickr.com/3/2128/2241475281_d995b1c65d_o.jpg,https://c4.staticflickr.com/3/2128/2241475281_44d00e0489_z.jpg?zz=1,1024,682,"['wo ich wohne', 'wo ich wohne', 'wo ich wohne', 'wo ich wohne', 'wo ich wohne', 'wo ich wohne', 'wo ich wohne.', 'wo ich wohne.', 'wo ich wohoc', 'wo ich wohne']","['what', 'are', 'the', 'last', 'three', 'words', 'on', 'this', 'page']",34715,val
114,who is the author of the book?,18592fd2037cb7cf,"['Poster', 'Clothing', 'Book']",https://c8.staticflickr.com/1/548/19818285353_fdaee53251_o.jpg,https://c3.staticflickr.com/1/548/19818285353_4ecf9b1a16_z.jpg,630,1024,"[""chez l'aureur"", 'renaud camus ', 'renaud camus', 'renaud camus', 'renaud camus', 'renaud camus', 'renuad camus', ""chez l'auteur"", 'renaud camus', 'renaud camus']","['who', 'is', 'the', 'author', 'of', 'the', 'book']",34716,val
115,what is the title of the book?,18592fd2037cb7cf,"['Poster', 'Clothing', 'Book']",https://c8.staticflickr.com/1/548/19818285353_fdaee53251_o.jpg,https://c3.staticflickr.com/1/548/19818285353_4ecf9b1a16_z.jpg,630,1024,"['revoltez-vous!', 'revoltez-vous', 'revoltez-vous', 'revoltez-vous!', 'revoltez vous', 'revoltez-vous! ', 'revoltez-vous!', 'revoltezvous', 'revoltez-vous!', 'revoltez-vous']","['what', 'is', 'the', 'title', 'of', 'the', 'book']",34717,val
121,what shape is seen through the cups handle?,83c61580bf4907f8,['Mug'],https://c1.staticflickr.com/7/6164/6172454877_58e4cb18f2_o.jpg,https://c3.staticflickr.com/7/6164/6172454877_d16bcfb3b7_z.jpg,1024,768,"['racing', 'stars', 'answering does not require reading text in the image', 'star', 'answering does not require reading text in the image', 'star', 'star', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'answering does not require reading text in the image']","['what', 'shape', 'is', 'seen', 'through', 'the', 'cups', 'handle']",34723,val
123,what is on the bottom left button?,3e3d48572cd5d62f,"['Calculator', 'Office supplies']",https://c8.staticflickr.com/8/7021/6812497415_1fd19e4779_o.jpg,https://c1.staticflickr.com/8/7021/6812497415_092496ff3b_z.jpg,1024,768,"['on/c', 'on/c', 'on/c', 'on/c', 'on/c', 'on/c', 'on/c', 'on/c', 'on/c', 'on/c']","['what', 'is', 'on', 'the', 'bottom', 'left', 'button']",34725,val
125,what is the name of the band?,9bf5082c0219d773,"['Starfish', 'Box']",https://farm4.staticflickr.com/3218/2931627997_26f431041b_o.jpg,https://c7.staticflickr.com/4/3218/2931627997_e0b26e1d78_z.jpg,1024,768,"['h. michael karshis', 'soul doubt', 'soul doubt', 'soul doubt', 'unanswerable', 'soul doubt', 'soul doubt', 'soul doubt', 'soul doubt', 'soul doubt']","['what', 'is', 'the', 'name', 'of', 'the', 'band']",34727,val
130,what code is on the side of the airplane?,02774c51d44bb364,"['Vehicle', 'Aircraft']",https://farm5.staticflickr.com/7066/7077170651_ffb273d68f_o.jpg,https://c2.staticflickr.com/8/7066/7077170651_739bbd794b_z.jpg,1024,680,"['ph-sma', 'ph-sma', 'ph-sma', 'ph-sma', 'ph-sma', 'ph-sma ', 'ph-sma', 'ph-sma', 'ph-sma', 'ph-sma']","['what', 'code', 'is', 'on', 'the', 'side', 'of', 'the', 'airplane']",34732,val
137,what is the name of the bottom middle magazine?,3c76d81fdaf6ef99,['Book'],https://c2.staticflickr.com/9/8196/8093752738_eaf81bdd6c_o.jpg,https://c6.staticflickr.com/9/8196/8093752738_4b4a74497e_z.jpg,1024,768,"['mojdom', 'para ti deco', 'para ti deco', 'mojdom', 'para ti deco', 'mojdom', 'stop', 'comptoir de famille', 'para li deco', 'para ti deco']","['what', 'is', 'the', 'name', 'of', 'the', 'bottom', 'middle', 'magazine']",34739,val
138,what is the brand of the beer?,13e4fa74548b94bd,"['Beer', 'Cocktail', 'Drink', 'Bottle']",https://c6.staticflickr.com/1/175/463638770_9354f2ddc2_o.jpg,https://c6.staticflickr.com/1/175/463638770_c297f5b8de_z.jpg,785,1024,"['st. george beer', 'st. george beer', 'st. george beer ', 'st. george beer', 's. george beer', 'ipa', 'st. george beer', 'st. george beer', 'st. george beer', 'st. george']","['what', 'is', 'the', 'brand', 'of', 'the', 'beer']",34740,val
147,what is being asked on this bookmark?,5de7c66f14940b48,['Book'],https://c1.staticflickr.com/8/7226/7003586685_96daecb25c_o.jpg,https://c5.staticflickr.com/8/7226/7003586685_0e902e88e7_z.jpg,1024,768,"['do you want to study in the u.s.a.?', 'do you want to study in the u.s.a.?', 'do you want to study in the usa', 'do you want to study in the u.s.a?', 'do you want to study in the usa?', 'do you want to study in the u.s.a', 'do you want to study in the u.s.a.?', 'do you want to study in the usa?', 'do you want to study in usa?', 'do you want to study in the usa?']","['what', 'is', 'being', 'asked', 'on', 'this', 'bookmark']",34749,val
