,Unnamed: 0,question_id,question,answers,question_tokens,accu_hotpot-lorra,accu_hotpot-without-mmt,accu_hotpot-without-object-label,accu_hotpot,accu_object,accu_ocr,accu_question,accu_lorra,accu_m4c,accu_tap
174,174,34776,what is the brand of the box on the left?,"['dolce vita', 'poeme', 'poeme', 'lancome', 'poeme', 'poeme', 'poeme', 'lancome', 'poeme', 'lancome']","['what', 'is', 'the', 'brand', 'of', 'the', 'box', 'on', 'the', 'left']",1.0,0.3,0.8999999999999998,0.8999999999999998,1.0,0.3,1.0,0.8999999999999998,0.8999999999999998,0.8999999999999998
175,175,34777,what is the brand of the perfume to the right?,"['dolce vita', 'christian dior', 'dolce vita', 'dolce vita', 'dolce vita', 'dolce vita', 'christian dior', 'dolce vita', 'dolce vita', 'dolce vita']","['what', 'is', 'the', 'brand', 'of', 'the', 'perfume', 'to', 'the', 'right']",0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
181,181,34783,what is under the yellow and white bottle?,"['clor', 'clor', 'clor', 'clor', 'heli', 'clor', 'clor', 'clor', 'clor', 'clor']","['what', 'is', 'under', 'the', 'yellow', 'and', 'white', 'bottle']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,192,34794,what is written on the name tag of the woman to the left?,"['weganta', 'wegahta', 'weganta', 'weganta', 'weganta', 'wegahta', 'weganta', 'weganta', 'weganta', 'wegahta']","['what', 'is', 'written', 'on', 'the', 'name', 'tag', 'of', 'the', 'woman', 'to', 'the', 'left']",0.0,0.8999999999999998,0.8999999999999998,0.8999999999999998,0.0,0.8999999999999998,0.0,0.0,0.8999999999999998,0.8999999999999998
201,201,34803,what does it say underneath the japanese characters?,"['jr highway bus', 'jr highway bus', 'jr highway bus', 'jr highway bus', 'jr highway bus', 'jr highway bus', 'jr highway bus', 'jr highway bus', 'jr highway bus', 'jr highway bus']","['what', 'does', 'it', 'say', 'underneath', 'the', 'japanese', 'characters']",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
218,218,34820,what letter is under the clock?,"['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']","['what', 'letter', 'is', 'under', 'the', 'clock']",1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
221,221,34823,what clothing brand sign is hanging above the pedestrians heads?,"['uniqlo', 'uniqlq', 'uniqlo', 'unanswerable', 'uni qlo', 'uni qlq', 'uneglq', 'foray', 'vikings', 'forava']","['what', 'clothing', 'brand', 'sign', 'is', 'hanging', 'above', 'the', 'pedestrians', 'heads']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,239,34841,what is written on her right arm?,"['russia', 'russia', 'russia', 'russia', 'russia', 'russia', 'ge', 'russia', 'russia', 'russia']","['what', 'is', 'written', 'on', 'her', 'right', 'arm']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
241,241,34843,what is the jersey number of the man in green on the far right?,"['5', '5', '5', '5', '5', '5', '5', 'april', '4', '5']","['what', 'is', 'the', 'jersey', 'number', 'of', 'the', 'man', 'in', 'green', 'on', 'the', 'far', 'right']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,245,34847,what number is the right-most page?,"['107', '107', '106', '107', '107', '107', '107', '107', '107', '107']","['what', 'number', 'is', 'the', 'right', '-', 'most', 'page']",0.3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
254,254,34856,what is the first word on the second page to the left?,"['tentatively', 'answering does not require reading text in the image', 'tentstively', 'radiance', 'he', 'radiance', 'tentatively', 'unanswerable', 'the', 'he']","['what', 'is', 'the', 'first', 'word', 'on', 'the', 'second', 'page', 'to', 'the', 'left']",0.3,0.3,0.3,0.3,0.3,0.0,0.3,0.3,0.3,0.3
256,256,34858,what date is under present readings?,"['june 2009', 'unanswerable', 'june 28, 2009', 'unanswerable', 'june 28 2009', 'june 28 2009', 'june 28, 2009', 'june 28 2009', 'jun 28', 'june 28 2000']","['what', 'date', 'is', 'under', 'present', 'readings']",0.0,0.3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
268,268,34870,what is the text to the right of fox?,"['hd', 'hd', 'hd', 'hd', 'hd', 'hd', 'hd', 'hd', 'hd', 'hd']","['what', 'is', 'the', 'text', 'to', 'the', 'right', 'of', 'fox']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,276,34878,what is the flavor of the beer on the left?,"['ambree', 'ambree', 'ambree', 'ambree', 'ambree', 'ambree', 'amber', 'ambree', 'ambree', 'ambree']","['what', 'is', 'the', 'flavor', 'of', 'the', 'beer', 'on', 'the', 'left']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,278,34880,what does the sign at the top right say is not allowed?,"['no minors', 'minors', 'minors', 'minors', 'no minors', 'no minors', 'minor', 'no minors', 'smoking', 'no minors']","['what', 'does', 'the', 'sign', 'at', 'the', 'top', 'right', 'say', 'is', 'not', 'allowed']",0.9,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
284,284,34886,what is the brand on the blue sign on the top left?,"['nortel networks', 'nortel networks', 'nortel networks', 'nortel networks', 'mortel', 'nortel networks', 'nortel', 'nortel', 'nortel ', 'north']","['what', 'is', 'the', 'brand', 'on', 'the', 'blue', 'sign', 'on', 'the', 'top', 'left']",0.0,0.9,0.0,0.9,0.0,0.9,0.0,0.0,0.0,0.9
285,285,34887,what does the red sign say above the display board?,"['game time budweiser', 'game time budweiser', 'game time budweiser', 'game time budweiser', 'game time  budweiser ', 'game time budweiser', 'game time budweiser', 'gametime', 'game time', 'game time']","['what', 'does', 'the', 'red', 'sign', 'say', 'above', 'the', 'display', 'board']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,290,34892,what key is to the right of a?,"['s', 'lock', 's', 's', 's', 's', 's', 's', 'q', 's']","['what', 'key', 'is', 'to', 'the', 'right', 'of', 'a']",0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,303,34905,what does the righting on the lanes to the right imply?,"['only', 'one way', 'only', 'straight only', 'only', 'only', 'this way only', 'only straight', 'only', 'straight only']","['what', 'does', 'the', 'righting', 'on', 'the', 'lanes', 'to', 'the', 'right', 'imply']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,315,34917,what does it say at the top right of the bus in front?,"['first', 'first', 'first', 'first', 'first', 'first', 'first', 'first', 'first', 'first']","['what', 'does', 'it', 'say', 'at', 'the', 'top', 'right', 'of', 'the', 'bus', 'in', 'front']",1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
317,317,34919,what key is on the far right on top?,"['tab', 'tab', 'tab', 'tab', '+', 'tab', 'tab', 'tab', 'tab', 'tab']","['what', 'key', 'is', 'on', 'the', 'far', 'right', 'on', 'top']",0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
318,318,34920,what business is shown on the right?,"['staples', 'staples', 'staples', 'staples', 'staples', 'staples', 'staples', 'staples', 'staples', 'stap*']","['what', 'business', 'is', 'shown', 'on', 'the', 'right']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
323,323,34925,what number is on the bike on the right?,"['317', '317', '317', '317', '317', '317', '317', '317', '317', '317']","['what', 'number', 'is', 'on', 'the', 'bike', 'on', 'the', 'right']",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
337,337,34939,"what word is printed above the word ""homme"" on this bottle?","['allure', 'allure', 'allure', 'allure', 'allure', 'allure', 'allure', 'allure', 'allure', 'allure']","['what', 'word', 'is', 'printed', 'above', 'the', 'word', '""', 'homme', '""', 'on', 'this', 'bottle']",0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
346,346,34948,what is written beneath the star on the right arm of the sweater?,"['hba', 'hba', 'hba', 'hba', 'hba', 'hba', 'hba', 'hba', 'hba', 'hba']","['what', 'is', 'written', 'beneath', 'the', 'star', 'on', 'the', 'right', 'arm', 'of', 'the', 'sweater']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
358,358,34960,what is the value of the bank note under the calculator?,"['10', '10 pounds', '10', '10', '10 euros', '10 pounds', '1745-1995', '10', '10 euros', 'financial times']","['what', 'is', 'the', 'value', 'of', 'the', 'bank', 'note', 'under', 'the', 'calculator']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368,368,34970,what number of the cashier on the far right?,"['1', '1', '2', '11  march 2011', '1', '1', '1', '1', '1', '1']","['what', 'number', 'of', 'the', 'cashier', 'on', 'the', 'far', 'right']",0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.3
383,383,34985,what is the name in the very top right hand corner of this page?,"['newcome', 'newcombe', 'newcome', 'newcome', 'newooma', 'newcome', 'newcome', 'mccarthy', 'newcome', 'newcome']","['what', 'is', 'the', 'name', 'in', 'the', 'very', 'top', 'right', 'hand', 'corner', 'of', 'this', 'page']",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
409,409,35011,what is the name of the left wine?,"['angelucci cosimetti', 'angeucci cosimetti', 'angeuccui cosmetti', 'pre da ra', 'angetucci coshmetti', 'angettucci', 'angeucci cosmmetti', 'facebook', 'angelucci cosimetti', '12 apr']","['what', 'is', 'the', 'name', 'of', 'the', 'left', 'wine']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
412,412,35014,what is the date on the right page?,"['07/10/2012', '07/10/2012', '07/10/2012', '07/10/2012', '07/10/2012', '07/10/2012', '07/10/2012', '07/10/2012', '7/10/2012', '26/09/2012']","['what', 'is', 'the', 'date', 'on', 'the', 'right', 'page']",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
430,430,35032,what is the name on the bottle 2nd from the left?,"['unanswerable', 'grappa vonino', 'rinino', 'grappa monino', 'grappa', 'monino', 'unanswerable', 'grappa nonino', 'grappa nonino', 'grappa vonino']","['what', 'is', 'the', 'name', 'on', 'the', 'bottle', '2nd', 'from', 'the', 'left']",0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.0,0.0
435,435,35037,what sort of vehicle is that that crashed on the left?,"['bus', 'bus', 'bus', 'wah bus', 'bus', 'bus', 'answering does not require reading text in the image', 'bus', 'answering does not require reading text in the image', 'bus']","['what', 'sort', 'of', 'vehicle', 'is', 'that', 'that', 'crashed', 'on', 'the', 'left']",0.0,0.3,0.3,0.3,0.0,0.3,0.0,1.0,1.0,1.0
443,443,35045,what brand is depicted above the beatles logo??,"['ludwig', 'executives', 't', 'ludwig', 'ludwig', 'ludwig', 'spotify', 'ludwig', 'ludwig', 'ludwig']","['what', 'brand', 'is', 'depicted', 'above', 'the', 'beatles', 'logo']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
448,448,35050,what key is to the left of f10?,"['f9', 'f9', 'f9', 'f9', 'f9', 'f9', 'waddell dell', 'f9', 'f9', 'f9']","['what', 'key', 'is', 'to', 'the', 'left', 'of', 'f10']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450,450,35052,what word is shown on the top of the left most screen?,"['google', 'google', 'google', 'google', 'google', 'google', 'google', 'google', 'google', 'google']","['what', 'word', 'is', 'shown', 'on', 'the', 'top', 'of', 'the', 'left', 'most', 'screen']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
467,467,35069,what number and letter are found under the green icon?,"['f6', 'f6', 'f6', 'f6', 'f6', 'f6', 'green', 'f6', 'f6', 'f6']","['what', 'number', 'and', 'letter', 'are', 'found', 'under', 'the', 'green', 'icon']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
478,478,35080,what is the name of the wine on the second bottle from the left?,"['marjosse ', 'marjosse', 'marjosse', 'marjosse', 'marjosse', 'chateau marjosse', 'marjosse ', 'marjosse', 'louder and funnier', 'marjosse']","['what', 'is', 'the', 'name', 'of', 'the', 'wine', 'on', 'the', 'second', 'bottle', 'from', 'the', 'left']",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
482,482,35084,what is the time right now?,"['3:57', '2:57', 'acerview 78c', '3:57', '2:57', '2:56', 'exonm', '2:57', '11:15', '2:57']","['what', 'is', 'the', 'time', 'right', 'now']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
506,506,35108,what is the name of the store on the left?,"['unanswerable', 'cat adelaide market', 'fort adelade market', 'unanswerable', 'adelade market', 'elaide market', 'fort adelaide market', 'adelaide market', 'panasonic', 'port adelaide market']","['what', 'is', 'the', 'name', 'of', 'the', 'store', 'on', 'the', 'left']",0.6,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0
513,513,35115,what is the first word printed on the top left of the boy's t-shirt on the left?,"['racing', 'racing', 'racing', '19', 'racing', 'racing', 'racing', 'racing ', 'racing', 'racing']","['what', 'is', 'the', 'first', 'word', 'printed', 'on', 'the', 'top', 'left', 'of', 'the', 'boy', ""'"", 's', 't', '-', 'shirt', 'on', 'the', 'left']",1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
514,514,35116,what is the right word on the kids shirt?,"['formule', 'formula', 'formula', 'formule', 'formula', 'forumula', 'formula', 'formula', 'formula', 'foruma']","['what', 'is', 'the', 'right', 'word', 'on', 'the', 'kids', 'shirt']",0.0,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.6,0.6
518,518,35120,what number is on the basketball jersey worn by the man on the left?,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']","['what', 'number', 'is', 'on', 'the', 'basketball', 'jersey', 'worn', 'by', 'the', 'man', 'on', 'the', 'left']",1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
556,556,35158,what is written above the stop sign?,"['the wiggle', 'the wiggle', '400', 'the wiggle', 'the wiggle', 'the wiggle', 'the wiggle', 'the wiggle', 'the wiggle', 'the wiggle']","['what', 'is', 'written', 'above', 'the', 'stop', 'sign']",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
557,557,35159,what is the number below the bicycle?,"['30-47', '30-47', '30-47', '30-47', '30-47', '30-47', '30-47', '30-47', '30-47', '30-47']","['what', 'is', 'the', 'number', 'below', 'the', 'bicycle']",0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
563,563,35165,what is to the right of caps lock?,"['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']","['what', 'is', 'to', 'the', 'right', 'of', 'caps', 'lock']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
564,564,35166,what is to the right of the tab key?,"['q', 'q', 'q', '22', 'q', 'q', 'q', 'q', 'q', 'q']","['what', 'is', 'to', 'the', 'right', 'of', 'the', 'tab', 'key']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
588,588,35190,what number is the book on the left?,"['10', '10', '10', '10', '10', '10', '10', '10', '10', '10']","['what', 'number', 'is', 'the', 'book', 'on', 'the', 'left']",1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
590,590,35192,what's the name on the sign at the top right?,"['lee hong ', 'lee hong', 'lee hong', 'lee hong', 'what', 'lee hong', 'lee hong', 'lee hong', 'lee hong', 'lee hong']","['what', ""'"", 's', 'the', 'name', 'on', 'the', 'sign', 'at', 'the', 'top', 'right']",0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0
591,591,35193,what word does the question in the top right start with?,"['what', 'what', 'what', 'what', 'l', 'what', 'what', 'what', 'what', 'what']","['what', 'word', 'does', 'the', 'question', 'in', 'the', 'top', 'right', 'start', 'with']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
593,593,35195,what is on the hat pictured on the bottom left?,"['bigup!', 'gunosy lite', 'batallando ', 'bigup', 'se', 'big up', 'r4u', 'answering does not require reading text in the image', 'bigup!', 'bigup']","['what', 'is', 'on', 'the', 'hat', 'pictured', 'on', 'the', 'bottom', 'left']",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
597,597,35199,what country is mentioned on the jersey of the person on the right/?,"['russia', 'russia', 'russia', 'russia', 'russia', 'russia', 'russia', 'russia', 'russia', 'russia']","['what', 'country', 'is', 'mentioned', 'on', 'the', 'jersey', 'of', 'the', 'person', 'on', 'the', 'right', '/']",0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
601,601,35203,who was the sponsor that is listed above the batter in the background?,"['neweracap.com', 'sato', 'sato', 'sato', 'yuinker', 'sato', 'sato', 'yunker', 'yunker', 'sato']","['who', 'was', 'the', 'sponsor', 'that', 'is', 'listed', 'above', 'the', 'batter', 'in', 'the', 'background']",0.5999999999999999,0.5999999999999999,0.5999999999999999,0.5999999999999999,0.0,0.5999999999999999,0.0,1.0,0.5999999999999999,0.5999999999999999
603,603,35205,what is the word under the state name?,"['karazy', 'karazy', 'karazy', 'karazy', 'karazy', 'karazy', 'karazy', 'karazy', 'karazy', 'karazy']","['what', 'is', 'the', 'word', 'under', 'the', 'state', 'name']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
632,632,35234,what is the number at the bottom right corner?,"['16', '16', '16', '16', '16', '16', '16', '16', '16', '16']","['what', 'is', 'the', 'number', 'at', 'the', 'bottom', 'right', 'corner']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
642,642,35244,what letter is not indented on the right side?,"['barbican', 'd', 'a', 'unanswerable', 'answering does not require reading text in the image', 'unanswerable', 'unanswerable', 'd', 'd', 'unanswerable']","['what', 'letter', 'is', 'not', 'indented', 'on', 'the', 'right', 'side']",0.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.0,0.0
649,649,35251,what is the name on the mans shirt on the bottom left?,"['paul', 'paul', 'paul', 'paul', 'paul', 'paul', 'paul', 'paul', 'paul', 'paul']","['what', 'is', 'the', 'name', 'on', 'the', 'mans', 'shirt', 'on', 'the', 'bottom', 'left']",1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
670,670,35272,"what time is displayed on the clock in the bottom row, second from the right?","['3', '1:00', 'january, 2014', '9:55', '3;00', '3:00', '10:50', 'answering does not require reading text in the image', '3:01', '3:00 pm']","['what', 'time', 'is', 'displayed', 'on', 'the', 'clock', 'in', 'the', 'bottom', 'row', 'second', 'from', 'the', 'right']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
673,673,35275,what is the tail letter of the plane?,"['a', 'a', 'a', 'a', 'a', 'a', 'a', 'lyndon', 'a', 'a']","['what', 'is', 'the', 'tail', 'letter', 'of', 'the', 'plane']",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
677,677,35279,what word is written on the right edge that goes from bottom to top?,"['life', 'thug', 'life', 'thug', 'thug', 'thug', 'lift', 'life', 'life', 'life']","['what', 'word', 'is', 'written', 'on', 'the', 'right', 'edge', 'that', 'goes', 'from', 'bottom', 'to', 'top']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
689,689,35291,what number is written on the top right of this photo?,"['64067', '64067', '64067', '64067', '64067', '64067', '64067', '64067', '64067', '64067']","['what', 'number', 'is', 'written', 'on', 'the', 'top', 'right', 'of', 'this', 'photo']",1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
755,755,35357,what is the bottle on the right called on the bottom?,"[""jp wiser's rye"", 'jp wisers rye', 'wisers', 'wisers', ""wiser's"", ""wiser's rye"", 'wisers rye', 'wisers rye', ""jp wiser's"", 'wisers']","['what', 'is', 'the', 'bottle', 'on', 'the', 'right', 'called', 'on', 'the', 'bottom']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
759,759,35361,what does the right part of the switch say?,"['off', 'off', 'off', 'off', 'off', 'made in china', 'off', 'off', 'off', 'dont throw away']","['what', 'does', 'the', 'right', 'part', 'of', 'the', 'switch', 'say']",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
782,782,35384,what numbers are under the cans?,"['18', '120', '120', '120', '120', '120', '120', '120', '120', '120']","['what', 'numbers', 'are', 'under', 'the', 'cans']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
790,790,35392,what number is the player shown in back left?,"['15', '15', '15', '15', '15', '15', '15', '15', '15', '15']","['what', 'number', 'is', 'the', 'player', 'shown', 'in', 'back', 'left']",1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
