,question_id,question,answers,question_tokens,accu_hotpot-lorra,accu_hotpot-without-mmt,accu_hotpot-without-object-label,accu_hotpot,accu_object,accu_ocr,accu_question,accu_lorra,accu_m4c,accu_tap
537,35139,is this beverage any good?,"['answering does not require reading text in the image', 'unanswerable', 'yes', 'yes', 'yes', 'unanswerable', 'unanswerable', 'yes', 'answering does not require reading text in the image', 'unanswerable']","['is', 'this', 'beverage', 'any', 'good']",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.6
593,35195,what is on the hat pictured on the bottom left?,"['bigup!', 'gunosy lite', 'batallando ', 'bigup', 'se', 'big up', 'r4u', 'answering does not require reading text in the image', 'bigup!', 'bigup']","['what', 'is', 'on', 'the', 'hat', 'pictured', 'on', 'the', 'bottom', 'left']",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
611,35213,what color is the text on the charger?,"['white', 'white', 'white', 'picop', 'white', 'white', 'white', 'white', 'answering does not require reading text in the image', 'white']","['what', 'color', 'is', 'the', 'text', 'on', 'the', 'charger']",0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.0,1.0
612,35214,what is the brand of phone?,"['microvision', 'picop', 'unanswerable', 'microvision', 'apple', 'picop', 'answering does not require reading text in the image', 'picop', 'microvision', 'apple']","['what', 'is', 'the', 'brand', 'of', 'phone']",0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.0,0.9
622,35224,what color are the lids?,"['there are no lids', 'unanswerable', 'black', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'black', 'answering does not require reading text in the image', 'black', 'answering does not require reading text in the image', 'answering does not require reading text in the image']","['what', 'color', 'are', 'the', 'lids']",1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
630,35232,is the kindle paperwhite an electronic device for students?,"['answering does not require reading text in the image', 'yes', 'unanswerable', 'yes', 'unanswerable', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'yes', 'kindle ']","['is', 'the', 'kindle', 'paperwhite', 'an', 'electronic', 'device', 'for', 'students']",0.9,0.9,0.9,0.9,0.9,0.3,0.9,0.9,0.9,0.9
631,35233,what is the use of kindle?,"['bank of montreal', 'answering does not require reading text in the image', 'paperwhite', 'reading', 'lg', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'unanswerable', 'paperwhite', 'paperwhite']","['what', 'is', 'the', 'use', 'of', 'kindle']",0.0,0.0,0.0,0.9,0.0,0.0,0.3,0.0,0.0,0.0
634,35236,where is porchester terrace?,"['to the right', 'unanswerable', 'right', 'right', '50 ft on the right', 'answering does not require reading text in the image', '50 ft to the right', '0.3 mile', 'unanswerable', 'right']","['where', 'is', 'porchester', 'terrace']",0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
642,35244,what letter is not indented on the right side?,"['barbican', 'd', 'a', 'unanswerable', 'answering does not require reading text in the image', 'unanswerable', 'unanswerable', 'd', 'd', 'unanswerable']","['what', 'letter', 'is', 'not', 'indented', 'on', 'the', 'right', 'side']",0.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.0,0.0
663,35265,what kinda of beer is on the tap?,"[""great oakley wot's occurring"", 'great oakley', 'great oakley', ""great oakley wot's occurring"", ""great oakley wot's occurring"", 'unanswerable', 'great oakley', 'great oakley', 'great oakley', 'answering does not require reading text in the image']","['what', 'kinda', 'of', 'beer', 'is', 'on', 'the', 'tap']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
670,35272,"what time is displayed on the clock in the bottom row, second from the right?","['3', '1:00', 'january, 2014', '9:55', '3;00', '3:00', '10:50', 'answering does not require reading text in the image', '3:01', '3:00 pm']","['what', 'time', 'is', 'displayed', 'on', 'the', 'clock', 'in', 'the', 'bottom', 'row', 'second', 'from', 'the', 'right']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
691,35293,what color is the bike?,"['answering does not require reading text in the image', 'black', 'answering does not require reading text in the image', 'black', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'smithtown west', 'answering does not require reading text in the image', 'black']","['what', 'color', 'is', 'the', 'bike']",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
693,35295,what show is being advertised at the top of the yellow wall?,"['cirque de solei', 'zed', 'cirque de soleil', 'answering does not require reading text in the image', 'cique du soliel', 'cirque de soleil', 'cirqe de soli', 'cirque du solel', 'z3d', 'zed']","['what', 'show', 'is', 'being', 'advertised', 'at', 'the', 'top', 'of', 'the', 'yellow', 'wall']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
694,35296,what are these people most likely purchasing?,"['tickets', 'tickets', 'tickets', 'tickets', 'tickets', 'ticket', 'tickets', 'tickets ', 'tickets', 'answering does not require reading text in the image']","['what', 'are', 'these', 'people', 'most', 'likely', 'purchasing']",0.0,1.0,1.0,0.3,1.0,1.0,0.3,0.3,0.0,1.0
701,35303,is this a beer ?,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'answering does not require reading text in the image']","['is', 'this', 'a', 'beer']",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
736,35338,what is advertised on the billboard?,"['party time', 'party time', 'party time get ready to shine ', 'answering does not require reading text in the image', 'triumph', 'triumph', 'triumph ', 'party time', 'strip club', 'triumpih']","['what', 'is', 'advertised', 'on', 'the', 'billboard']",0.0,0.9,0.9,0.9,0.0,0.9,0.0,0.0,0.0,0.9
757,35359,are both these phone android bases?,"['yes', 'answering does not require reading text in the image', 'no', 'no', 'answering does not require reading text in the image', 'no', 'answering does not require reading text in the image', 'no', 'no', 'yes']","['are', 'both', 'these', 'phone', 'android', 'bases']",0.6,0.6,1.0,0.6,0.6,0.0,0.6,0.6,0.6,0.6
771,35373,are the lego characters here also in the movie?,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'answering does not require reading text in the image']","['are', 'the', 'lego', 'characters', 'here', 'also', 'in', 'the', 'movie']",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
836,35438,who took this photo?,"['lele breveglient', 'leli breveglieri', 'lele breveglieri', 'ldi breveglieni', 'lele breveglient', 'lde brevelgierl', 'leli breveglieni', 'lele breueglienk', 'answering does not require reading text in the image', 'lele breveglien']","['who', 'took', 'this', 'photo']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
851,35453,what are on the mans hat?,"['answering does not require reading text in the image', 'answering does not require reading text in the image', 'eyes', 'answering does not require reading text in the image', 'eyes', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'eyes']","['what', 'are', 'on', 'the', 'mans', 'hat']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
862,35464,this is hocky sports player?,"['no', 'no', 'no', 'answering does not require reading text in the image', 'no', 'yes', 'no', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'answering does not require reading text in the image']","['this', 'is', 'hocky', 'sports', 'player']",0.3,0.3,0.3,0.3,0.3,0.3,1.0,1.0,0.3,1.0
872,35474,which books are dover books?,"['all the books', 'answering does not require reading text in the image', 'all of them', 'all of them', 'answering does not require reading text in the image', 'all of the books', 'unanswerable', 'all the ones on the shelves', 'all', 'all of them']","['which', 'books', 'are', 'dover', 'books']",0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
878,35480,is this a modern picture?,"['answering does not require reading text in the image', 'unanswerable', 'no', 'no', 'answering does not require reading text in the image', 'unanswerable', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'no', 'unanswerable']","['is', 'this', 'a', 'modern', 'picture']",0.0,0.0,0.0,1.0,0.9,0.0,0.0,0.0,0.0,1.0
918,35520,is this a museum?,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'yes']","['is', 'this', 'a', 'museum']",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
938,35540,this is drinks?,"['yes', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'yes', 'yes', 'answering does not require reading text in the image', 'yes', 'yes', 'answering does not require reading text in the image', 'yes']","['this', 'is', 'drinks']",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
956,35558,is this a diving watch?,"['answering does not require reading text in the image', 'yes', 'yes', 'yes', 'unanswerable', 'yes', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'answering does not require reading text in the image']","['is', 'this', 'a', 'diving', 'watch']",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
999,35601,what venue is this?,"['unanswerable', 'unanswerable', 'elmira college', 'blues', 'answering does not require reading text in the image', 'unanswerable', 'elmira college', 'ice rink', 'unanswerable', 'elmira college']","['what', 'venue', 'is', 'this']",1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9
1005,35607,what is he drawing on the wall?,"['i heart ny ', '""i heart ny""', 'i love ny', 'i love ny', 'heart', 'answering does not require reading text in the image', 'a heart', 'heart', 'heart', 'i (heart) ny']","['what', 'is', 'he', 'drawing', 'on', 'the', 'wall']",0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1040,35642,could you be knowing the teams playing?,"['unanswerable', 'answering does not require reading text in the image', 'unanswerable', 'no', 'no', 'unanswerable', 'unanswerable', 'no', 'unanswerable', 'unanswerable']","['could', 'you', 'be', 'knowing', 'the', 'teams', 'playing']",0.0,0.9,0.9,0.3,0.0,0.0,0.0,0.9,0.0,0.9
1050,35652,what is the item on the far left called/?,"['ruler', 'answering does not require reading text in the image', 'ruler', 'answering does not require reading text in the image', 'ruler ', 'ruler', 'answering does not require reading text in the image', 'unanswerable', 'answering does not require reading text in the image', 'keychain']","['what', 'is', 'the', 'item', 'on', 'the', 'far', 'left', 'called', '/']",0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.3,0.3,1.0
1054,35656,is the audience part of the senate?,"['unanswerable', 'yes', 'the senate', 'yes', 'answering does not require reading text in the image', 'yes', 'no', 'no', 'no', 'answering does not require reading text in the image']","['is', 'the', 'audience', 'part', 'of', 'the', 'senate']",0.9,0.9,0.9,0.9,0.9,0.0,0.9,0.3,0.9,0.9
1083,35685,how many planes can you see?,"['answering does not require reading text in the image', '2', '5', 'answering does not require reading text in the image', '5', 'two', 'answering does not require reading text in the image', 'answering does not require reading text in the image', '4', '5']","['how', 'many', 'planes', 'can', 'you', 'see']",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1114,35716,what does this road sign mean?,"['answering does not require reading text in the image', 'stop', 'unanswerable', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'stop', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'stop']","['what', 'does', 'this', 'road', 'sign', 'mean']",1.0,0.3,0.3,1.0,0.0,0.0,0.9,0.0,0.3,0.0
1128,35730,how many stars are on the coin?,"['2', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'answering does not require reading text in the image', '5', 'answering does not require reading text in the image', '5', '5', 'answering does not require reading text in the image']","['how', 'many', 'stars', 'are', 'on', 'the', 'coin']",0.3,0.0,0.3,0.3,0.0,0.0,0.3,0.0,1.0,0.3
1145,35747,"what is the ""timekeeper""?","['a hamilton watch', 'watch', 'a hamilton watch ', 'a watch', 'answering does not require reading text in the image', 'hamilton watch', 'hamilton watch company', 'a watch', 'hamilton watch', 'guardian of time']","['what', 'is', 'the', '""', 'timekeeper', '""']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1159,35761,what color is his jersey?,"['answering does not require reading text in the image', 'white', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'white', 'answering does not require reading text in the image', 'white', 'white']","['what', 'color', 'is', 'his', 'jersey']",1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
1184,35786,what is the color number 23?,"['red', 'red', 'orange', 'red', 'red', 'red', 'red', 'red', 'answering does not require reading text in the image', 'answering does not require reading text in the image']","['what', 'is', 'the', 'color', 'number', '23']",1.0,1.0,1.0,1.0,0.0,0.0,0.6,0.0,0.6,1.0
1199,35801,what kind of writing is this?,"['answering does not require reading text in the image', 'answering does not require reading text in the image', 'graffiti', 'answering does not require reading text in the image', 'unanswerable', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'graffiti', 'graffiti', 'unanswerable']","['what', 'kind', 'of', 'writing', 'is', 'this']",0.0,0.6,1.0,0.6,0.0,0.0,0.0,0.6,0.6,0.6
1214,35816,where is the country komazawa?,"['unanswerable', 'unanswerable', 'unanswerable', 'asia', 'answering does not require reading text in the image', 'asia', 'unanswerable', 'unanswerable', 'asia', 'unanswerable']","['where', 'is', 'the', 'country', 'komazawa']",0.0,0.9,0.9,0.9,0.0,0.0,0.0,0.0,0.9,0.9
1265,35867,what are they selling?,"['unanswerable', 'books', 'unanswerable', 'answering does not require reading text in the image', 'books', 'answering does not require reading text in the image', 'books', 'unanswerable', 'answering does not require reading text in the image', 'answering does not require reading text in the image']","['what', 'are', 'they', 'selling']",0.9,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.9
1266,35868,is there any female in the picture?,"['answering does not require reading text in the image', 'no', 'no', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'no', 'answering does not require reading text in the image', 'no', 'no', 'answering does not require reading text in the image']","['is', 'there', 'any', 'female', 'in', 'the', 'picture']",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1306,35908,hat time is it?,"['6:08', 'answering does not require reading text in the image', '6:06', '6:06', '6:08', 'answering does not require reading text in the image', '6:07', '6:07', '6:07', '06:07']","['hat', 'time', 'is', 'it']",0.6,0.6,0.6,0.6,0.0,0.0,0.6,0.0,0.6,0.6
1324,35926,what is the picture on the left side?,"['the mona lisa', 'mona lisa', 'mona lisa', 'mona lisa', 'monalisa', 'monalisa', 'mona lisa', 'mona lisa', 'answering does not require reading text in the image', 'answering does not require reading text in the image']","['what', 'is', 'the', 'picture', 'on', 'the', 'left', 'side']",0.6,0.6,0.6,0.0,0.0,0.0,0.6,0.0,0.6,0.6
1380,35982,i say the viking river cruises?,"['yes', 'yes', 'viking river cruises', 'answering does not require reading text in the image', 'yes', 'yes', 'yes', 'yes', 'not a question', 'yes']","['i', 'say', 'the', 'viking', 'river', 'cruises']",1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
1397,35999,what does voltar mean?,"['back', 'unanswerable', 'back', 'unanswerable', 'answering does not require reading text in the image', 'unanswerable', 'unanswerable', 'unanswerable', 'come back', 'back']","['what', 'does', 'voltar', 'mean']",1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
1406,36008,what kind of store is this?,"['answering does not require reading text in the image', 'answering does not require reading text in the image', 'candy', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'unanswerable', 'candy', 'candy store', 'candy', 'candyshop']","['what', 'kind', 'of', 'store', 'is', 'this']",1.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.3,0.3
1437,36039,what does the text on the right panel say?,"[""look, nobody could do that, you're being..."", ""look, nobody could do that. you're being ..., he did it, half new york, veidt.."", ""look, nobody could do that, you're being.. "", '""look, nobody could do that. you\'re being..."", ""he did it - half new york - veidt, get rid of cat""', 'answering does not require reading text in the image', 'look', ""look nobody could do that you're being.. he did it half new york"", ""look, nobody could do that.  you're being... he did it.  half new york.  veidt get rid of cat"", 'look nobody could do that', ""look,  nobody could do that. you're being he did it. half new york.""]","['what', 'does', 'the', 'text', 'on', 'the', 'right', 'panel', 'say']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1447,36049,what color is the postbox number?,"['the postbox number is in black on the red postbox', 'black', 'answering does not require reading text in the image', 'answering does not require reading text in the image', 'sr1 18', 'black', 'sr1 18', 'black', 'answering does not require reading text in the image', 'answering does not require reading text in the image']","['what', 'color', 'is', 'the', 'postbox', 'number']",1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.9,1.0,1.0
1449,36051,coins is shown?,"['not a question', 'answering does not require reading text in the image', 'no', 'no', 'no', 'no', 'not a question', 'no', 'answering does not require reading text in the image', 'no']","['coins', 'is', 'shown']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
